unit_name,unit_code,state,region,unit_type,created_by,date_est,POINT-X,POINT-Y,EXTENT_MIN_X,EXTENT_MIN_Y,EXTENT_MAX_X,EXTENT_MAX_Y,description,metadata,filename,image,caption
Monocacy National Battlefield,MONO,MD,NC,National Battlefield,Lands,1934-06-21T00:00:00Z,-77.40247,39.357698,-77.41185875,39.34217591,-77.37430181,39.38115761,"During the summer of 1864, the Confederacy carried out a bold plan to turn the tide of the Civil War in their favor. They planned to capture Washington, D.C. and influence the elections of 1864. On July 9, 1864, however, Federal soldiers outnumbered three to one, fought gallantly along the banks of the Monocacy River in an effort to buy time for Union reinforcement to arrive in Washington D.C.",https://www.nps.gov/mono/,867B2D92-1DD8-B71B-0B2BA041DA1F3075.jpg,https://www.nps.gov/common/uploads/banner_image/ncr/867B2D92-1DD8-B71B-0B2BA041DA1F3075.jpg,The Best Farm House and other historic structures on a foggy morning.
Wilson's Creek National Battlefield,WICR,MO,MW,National Battlefield,Lands,1960-04-22T00:00:00Z,-93.409852,37.09999,-93.42356897,37.07993629,-93.39396572,37.12152895,"Wilson's Creek was the first major Civil War battle fought west of the Mississippi River, and the site of the death of Nathaniel Lyon, the first Union general killed in action. The costly Southern victory on August 10, 1861, focused national attention on the war in Missouri. Wilson’s Creek NB commemorates and interprets the battle within the context of the war in the Trans-Mississippi West.",https://www.nps.gov/wicr/,7F0BE8E9-1DD8-B71B-0B2B7CC9C5B96F58.JPG,https://www.nps.gov/common/uploads/banner_image/mwr/7F0BE8E9-1DD8-B71B-0B2B7CC9C5B96F58.JPG,Don't Yield An Inch by Andy Thomas
Kennesaw Mountain National Battlefield Park,KEMO,GA,SE,National Battlefield Park,Lands,1917-02-18T00:00:00Z,-84.578917,33.978059,-84.60927304,33.90880455,-84.56879773,33.98991137,"Kennesaw Mountain National Battlefield Park is a 2,965 acre National Battlefield that preserves a Civil War battleground of the Atlanta Campaign. Opposing forces maneuvered and fought here from June 19, 1864 until July 2, 1864. Although most famous as a Civil War battlefield, Kennesaw Mountain has a much richer story.",https://www.nps.gov/kemo/,C6F4BB23-1DD8-B71B-0BF788B4FAC68A15.jpg,https://www.nps.gov/common/uploads/banner_image/akr/C6F4BB23-1DD8-B71B-0BF788B4FAC68A15.jpg,Fall at Kennesaw Mountain
Richmond National Battlefield Park,RICH,VA,NE,National Battlefield Park,Legacy,1936-03-02T00:00:00Z,-77.2514,37.417857,-77.5483993,37.34697521,-77.22512321,37.92140173,"Richmond's story is not just the tale of one large Civil War battle, nor even one important campaign. Instead, the park's resources include a naval battle, a key industrial complex, the Confederacy's largest hospital, dozens of miles of elaborate original fortifications, and the evocative spots where determined soldiers stood paces apart and fought with rifles, reaping a staggering human cost.",https://www.nps.gov/rich/,7E22655A-1DD8-B71B-0B3CD09F52DC16D3.jpg,https://www.nps.gov/common/uploads/banner_image/ner/7E22655A-1DD8-B71B-0B3CD09F52DC16D3.jpg,Snow coats Gaines' Mill battlefield
Manassas National Battlefield Park,MANA,VA,NC,National Battlefield Park,Lands,1936-11-14T00:00:00Z,-77.530039,38.820771,-77.57380209,38.79868048,-77.48831036,38.8447744,"On July 21, 1861, two armies clashed for the first time on the fields overlooking Bull Run. Heavy fighting swept away any notion of a quick war. In August 1862, Union and Confederate armies converged for a second time on the plains of Manassas. The Confederates won a solid victory bringing them to the height of their power.",https://www.nps.gov/mana/,2F7DAD20-1DD8-B71B-0BB062222AE77E92.jpg,https://www.nps.gov/common/uploads/banner_image/ncr/2F7DAD20-1DD8-B71B-0BB062222AE77E92.jpg,Henry Hill
River Raisin National Battlefield Park,RIRA,MI,MW,National Battlefield Park,Lands,2010-10-22T00:00:00Z,-83.376106,41.912831,-83.37951188,41.90960384,-83.37315783,41.91538192,"River Raisin National Battlefield Park preserves, commemorates, and interprets the January 1813 battles of the War of 1812 and their aftermath in Monroe and Wayne counties in SE Michigan. The Battle resulted in the greatest victory for Tecumseh’s American Indian confederation and the greatest defeat for the U.S. The resulting rally cry “Remember the Raisin” spurred support for the rest of the war.",https://www.nps.gov/rira/,355FBC20-1DD8-B71B-0B54A154BF72F4CF.jpg,https://www.nps.gov/common/uploads/banner_image/mwr/355FBC20-1DD8-B71B-0B54A154BF72F4CF.jpg,In the Line of Fire
Brices Cross Roads National Battlefield Site,BRCR,MS,SE,National Battlefield Site,Lands,1929-02-21T00:00:00Z,-88.728893,34.50612,-88.72946082,34.50569838,-88.72832203,34.50653838,"The Confederate victory at Brices Cross Roads was a significant victory for Major General Nathan Bedford Forrest, but its long term effect on the war proved costly for the Confederates. Brices Cross Roads is an excellent example of winning the battle, but losing the war.",https://www.nps.gov/brcr/,CB7B155F-1DD8-B71B-0BD6E95622ABF060.jpg,https://www.nps.gov/common/uploads/banner_image/akr/CB7B155F-1DD8-B71B-0BD6E95622ABF060.jpg,Monument and cannons at Brices Cross Roads National Battlefield Site
Ford's Theatre National Historic Site,FOTH,DC,NC,National Historic Site,Lands,1866-04-07T00:00:00Z,-77.02566,38.896662,-77.02647328,38.89649018,-77.02535622,38.89684178,"Explore Ford's Theatre NHS, discover Abraham Lincoln's life in Washington, D.C., the struggle for a united country, and the motivation behind Lincoln's assassination. The National Park Service and the Ford's Theatre Society present a variety of programs year round.",https://www.nps.gov/foth/,2C93AE3B-1DD8-B71B-0BA2413299A2B612.jpg,https://www.nps.gov/common/uploads/banner_image/ncr/2C93AE3B-1DD8-B71B-0BA2413299A2B612.jpg,Ford's Theatre
Andrew Johnson National Historic Site,ANJO,TN,SE,National Historic Site,Lands,1935-08-29T00:00:00Z,-82.83814,36.155363,-82.83972944,36.15394263,-82.82873845,36.16304478,"The Andrew Johnson National Historic Site and National Cemetery interprets the life and legacy of the 17th President. Andrew Johnson's presidency, 1865-1869, illustrates the United States Constitution at work following President Lincoln's assassination and during attempts to reunify a nation torn by civil war. His presidency shaped the future of the United States and his influences continue today.",https://www.nps.gov/anjo/,8B2EC6C9-1DD8-B71B-0B0523D5F1B1A795.jpg,https://www.nps.gov/common/uploads/banner_image/akr/8B2EC6C9-1DD8-B71B-0B0523D5F1B1A795.jpg,Lincoln -Johnson Campaign Poster
Whitman Mission National Historic Site,WHMI,WA,PW,National Historic Site,Lands,1936-06-29T00:00:00Z,-118.465488,46.042651,-118.4721691,46.03735916,-118.4588061,46.04849714,"The 1847 attack on the Whitmans horrified Americans and impacted the lives of the peoples of the Columbia Plateau for decades afterwards. Was killing the Whitmans justified legal retribution, an act of revenge, or some combination of both? The circumstances that surround this tragic event resonate with modern issues of cultural interaction and differing perspectives.",https://www.nps.gov/whmi/,4900B5C7-1DD8-B71B-0B023A3BD1FB3430.jpg,https://www.nps.gov/common/uploads/banner_image/pwr/4900B5C7-1DD8-B71B-0B023A3BD1FB3430.jpg,Beads from Mission site circa 1847
Salem Maritime National Historic Site,SAMA,MA,NE,National Historic Site,Lands,1938-03-17T00:00:00Z,-70.886838,42.519599,-70.88801759,42.51648142,-70.88330014,42.52272798,"When the United States was young, ships from Salem, Massachusetts helped to build the new nation's economy by carrying cargo back and forth from the West to Asia. The historic buildings, wharves, and reconstructed tall ship at this nine-acre National Park tell the stories of the sailors, Revolutionary War privateers, and merchants who brought the riches of the world to America.",https://www.nps.gov/sama/,8AAE2098-1DD8-B71B-0BF6F77410E7EBD5.jpg,https://www.nps.gov/common/uploads/banner_image/ner/8AAE2098-1DD8-B71B-0BF6F77410E7EBD5.jpg,Photo of Salem Maritime National Historic Site Wharves and Vessel Friendship
Fort Laramie National Historic Site,FOLA,WY,IM,National Historic Site,Lands,1938-07-16T00:00:00Z,-104.545919,42.203025,-104.5653087,42.19376118,-104.5258922,42.21109391,"Originally established as a private fur trading fort in 1834, Fort Laramie evolved into the largest and best known military post on the Northern Plains before its abandonment in 1890. This “grand old post” witnessed the entire sweeping saga of America’s western expansion and Indian resistance to encroachment on their territories.",https://www.nps.gov/fola/,38136EC7-1DD8-B71B-0BB8B66FAA1D0793.jpg,https://www.nps.gov/common/uploads/banner_image/imr/38136EC7-1DD8-B71B-0BB8B66FAA1D0793.jpg,The early morning sun illuminating the 1874 Cavalry Barracks
Hopewell Furnace National Historic Site,HOFU,PA,NE,National Historic Site,Lands,1938-08-03T00:00:00Z,-75.768116,40.206072,-75.77732888,40.1898486,-75.7551236,40.21963323,"Hopewell Furnace showcases an early American industrial landscape from natural resource extraction to enlightened conservation. Operating from 1771-1883, Hopewell and other ""iron plantations"" laid the foundation for the transformation of the United States into an industrial giant. The park's 848 acres and historic structures illustrate the business, technology and lifestyle of our growing nation.",https://www.nps.gov/hofu/,C8C2AFD4-1DD8-B71B-0BBBAF3F048ACA26.jpg,https://www.nps.gov/common/uploads/banner_image/ner/C8C2AFD4-1DD8-B71B-0BBBAF3F048ACA26.jpg,Overview of historical setting that made up the Hopewell Furance community.
Vanderbilt Mansion National Historic Site,VAMA,NY,NE,National Historic Site,Legacy,1940-12-18T00:00:00Z,-73.941858,41.794398,-73.94636891,41.78865354,-73.9372854,41.80665258,"Vanderbilt Mansion NHS, in terms of architecture, interiors, mechanical systems, road systems and landscape, is a remarkably complete example of a gilded-age country place, illustrating the political, economic, social, cultural, and demographic changes that occurred as America industrialized in the years after the Civil War.",https://www.nps.gov/vama/,21FE27B7-1DD8-B71B-0B20AA2AABF1A027.jpg,https://www.nps.gov/common/uploads/banner_image/ner/21FE27B7-1DD8-B71B-0B20AA2AABF1A027.jpg,Vanderbilt Mansion National Historic Site
Fort Raleigh National Historic Site,FORA,NC,SE,National Historic Site,Legacy,1941-04-05T00:00:00Z,-75.709388,35.936368,-75.72331718,35.93118929,-75.70474442,35.93986904,"Fort Raleigh National Historic Site protects and preserves known portions of England's first New World settlements from 1584 to 1590. This site also preserves the cultural heritage of the Native Americans, European Americans and African Americans who have lived on Roanoke Island.",https://www.nps.gov/fora/,4A93307E-1DD8-B71B-0BBF21B92DD9ED13.jpg,https://www.nps.gov/common/uploads/banner_image/akr/4A93307E-1DD8-B71B-0BBF21B92DD9ED13.jpg,The Thomas Hariot Trail winds through the maritime forest at the site
Home of Franklin D Roosevelt National Historic Site,HOFR,NY,NE,National Historic Site,Lands,1944-01-15T00:00:00Z,-73.926718,41.768041,-73.94671401,41.75597673,-73.8874662,41.77372159,"""All that is within me cries out to go back to my home on the Hudson River"" FDR This quote captures FDR's connection to Springwood, the estate that he loved & the place he considered home. The first US Presidential Library was started by FDR here. Visit the Home of FDR and Presidential Library & Museum to learn about the only President elected to four terms.",https://www.nps.gov/hofr/,2BB7E71A-1DD8-B71B-0B65FE4B066ACFBD.jpg,https://www.nps.gov/common/uploads/banner_image/ner/2BB7E71A-1DD8-B71B-0B65FE4B066ACFBD.jpg,"Springwood, Home of Franklin D. Roosevelt"
Fort Vancouver National Historic Site,FOVA,WA,PW,National Historic Site,Lands,1948-06-19T00:00:00Z,-122.661638,45.62356,-122.6714882,45.35690544,-122.605329,45.62838132,"Located on the north bank of the Columbia River, in sight of snowy mountain peaks and a vibrant urban landscape, this park has a rich cultural past. From a frontier fur trading post, to a powerful military legacy, the magic of flight, and the origin of the American Pacific Northwest, history is shared at four unique sites. Discover stories of transition, settlement, conflict, and community.",https://www.nps.gov/fova/,CB3CF57E-1DD8-B71B-0B69381E816B74B0.jpg,https://www.nps.gov/common/uploads/banner_image/pwr/CB3CF57E-1DD8-B71B-0B69381E816B74B0.jpg,Fort Vancouver National Historic Site
Hampton National Historic Site,HAMP,MD,NE,National Historic Site,Lands,1948-06-22T00:00:00Z,-76.58821,39.416609,-76.59182112,39.41413158,-76.5847854,39.42232401,"Enslaved African Americans, European indentured servants, industrial and agricultural workers, and owners. It is also the story of the economic and moral changes that made forced servitude in the United States obsolete.",https://www.nps.gov/hamp/,25E4AF16-1DD8-B71B-0B7874C995F36BDE.JPG,https://www.nps.gov/common/uploads/banner_image/ner/25E4AF16-1DD8-B71B-0B7874C995F36BDE.JPG,Exterior view of Hampton Manstion
San Juan National Historic Site,SAJU,PR,SE,National Historic Site,Legacy,1949-02-14T00:00:00Z,-66.11749,18.468843,-66.13728188,18.46482531,-66.10683656,18.47169399,San Juan National Historic Site preserves stories of great ambition and aspirations. Countries fought for control of this tiny yet strategic island for centuries. Generations of soldiers have lived and worked within the forts. Visitors today are as inspired by these stories as they are by the beauty of the architecture and the ingenuity of design and engineering of this World Heritage Site.,https://www.nps.gov/saju/,99D6A27F-1DD8-B71B-0BF8B637596EBE13.JPG,https://www.nps.gov/common/uploads/banner_image/akr/99D6A27F-1DD8-B71B-0BF8B637596EBE13.JPG,Rear view of Fort San Felipe del Morro at sunset
Christiansted National Historic Site,CHRI,VI,SE,National Historic Site,Lands,1952-03-04T00:00:00Z,-64.739965,17.734056,-64.74195726,17.7326669,-64.70091775,17.74752861,"No place in the Caribbean still demonstrates the architectural, economic, and political influence of Europe like Christiansted National Historic Site. Come wander through 18th century buildings in one the Caribbean's few urban parks- it is a unique experience that you will never forget.",https://www.nps.gov/chri/,9FA883D7-1DD8-B71B-0BDE58A2BB61DDE2.jpg,https://www.nps.gov/common/uploads/banner_image/akr/9FA883D7-1DD8-B71B-0BDE58A2BB61DDE2.jpg,Come wander through 18th century buildings in one the Caribbean's few urban parks
Bent's Old Fort National Historic Site,BEOL,CO,IM,National Historic Site,Lands,1960-06-03T00:00:00Z,-103.42665,38.039775,-103.4355437,38.02736892,-103.4170922,38.05025144,"Bent's Old Fort National Historic Site features a reconstructed 1840s adobe fur trading post on the mountain branch of the Santa Fe Trail where traders, trappers, travelers, and the Cheyenne and Arapaho tribes came together in peaceful terms for trade. Today, living historians recreate the sights, sounds, and smells of the past with guided tours, demonstrations and special events.",https://www.nps.gov/beol/,8D8603DF-1DD8-B71B-0B7DDE3D53DE9313.jpg,https://www.nps.gov/common/uploads/banner_image/imr/8D8603DF-1DD8-B71B-0B7DDE3D53DE9313.jpg,Bent's Old Fort sets along the Arkansas River which was the boundary with Mexico.
Fort Davis National Historic Site,FODA,TX,IM,National Historic Site,Lands,1961-09-08T00:00:00Z,-103.896191,30.599304,-103.9119699,30.59168129,-103.8861399,30.60660816,"Fort Davis is one of the best surviving examples of an Indian Wars' frontier military post in the Southwest. From 1854 to 1891, Fort Davis was strategically located to protect emigrants, mail coaches, and freight wagons on the Trans-Pecos portion of the San Antonio-El Paso Road and on the Chihuahua Trail.",https://www.nps.gov/foda/,58FA80FD-1DD8-B71B-0BEA34A1203E1198.JPG,https://www.nps.gov/common/uploads/banner_image/imr/58FA80FD-1DD8-B71B-0BEA34A1203E1198.JPG,Fort Davis officer's row with garrison flag flying
Fort Smith National Historic Site,FOSM,AR,MW,National Historic Site,Lands,1961-09-13T00:00:00Z,-94.431302,35.388378,-94.4339119,35.38466268,-94.42830767,35.39134122,"From the establishment of the first Fort Smith on December 25, 1817, to the final days of Judge Isaac C. Parker's jurisdiction over Indian Territory in 1896, Fort Smith National Historic Site preserves almost 80 years of history. Explore life on the edge of Indian Territory through the stories of soldiers, the Trail of Tears, dangerous outlaws, and the brave lawmen who pursued them.",https://www.nps.gov/fosm/,59D6B90E-1DD8-B71B-0B342E4E8CCBA1E3.jpg,https://www.nps.gov/common/uploads/banner_image/mwr/59D6B90E-1DD8-B71B-0B342E4E8CCBA1E3.jpg,Aerial view of visitor center and second fort area
Theodore Roosevelt Birthplace National Historic Site,THRB,NY,NE,National Historic Site,Lands,1962-07-25T00:00:00Z,-73.989013,40.738593,-73.98917135,40.73844941,-73.98885401,40.73873682,"Only one U.S. president was born in New York City. Raised in a townhouse at 28 E. 20th St., Theodore Roosevelt would grow up to be our 26th President and become immortalized on Mount Rushmore. However, he started life as a sickly yet bright boy who exercised to improve his health and began a lifelong passion for the ""strenuous life.""",https://www.nps.gov/thrb/,185C0F94-1DD8-B71B-0BC217328653DCAC.jpg,https://www.nps.gov/common/uploads/banner_image/ner/185C0F94-1DD8-B71B-0BC217328653DCAC.jpg,The parlor at Theodore Roosevelt Birthplace National Historic Site
Sagamore Hill National Historic Site,SAHI,NY,NE,National Historic Site,Lands,1962-07-25T00:00:00Z,-73.496687,40.885573,-73.50424123,40.88385261,-73.4898427,40.88988964,"Sagamore Hill was the home of Theodore Roosevelt, 26th President of the United States, from 1885 until his death in 1919. During Roosevelt's time in office, his ""Summer White House"" was the focus of international attention. Explore the natural surroundings and become inspired by the legacy of one of America's most popular presidents.",https://www.nps.gov/sahi/,E8018A1C-1DD8-B71B-0BF8325588A391A1.jpg,https://www.nps.gov/common/uploads/banner_image/ner/E8018A1C-1DD8-B71B-0BF8325588A391A1.jpg,The Great Hall of Sagamore Hill.
Frederick Douglass National Historic Site,FRDO,DC,NC,National Historic Site,Lands,1962-09-05T00:00:00Z,-76.985079,38.862977,-76.98621778,38.86141974,-76.98399113,38.86410497,"Frederick Douglass spent his life fighting for justice and equality. Born into slavery in 1818, he escaped as a young man and became a leading voice in the abolitionist movement. Today, people everywhere still find inspiration in his tireless struggle, brilliant words, and inclusive vision of humanity. Douglass's legacy is preserved here at Cedar Hill, where he lived his last 17 years.",https://www.nps.gov/frdo/,50D4F6FC-1DD8-B71B-0B3563996DC21D7F.jpg,https://www.nps.gov/common/uploads/banner_image/ncr/50D4F6FC-1DD8-B71B-0B3563996DC21D7F.jpg,A historic house on top of a hill
Fort Bowie National Historic Site,FOBO,AZ,IM,National Historic Site,Lands,1964-08-30T00:00:00Z,-109.451132,32.149259,-109.4833005,32.14113607,-109.4290941,32.15750573,"Fort Bowie commemorates the bitter conflict between Chiricahua Apaches and the U.S. military - a lasting monument to the bravery and endurance of U.S. soldiers in paving the way for settlement and the taming of the western frontier. It provides insight into a ""clash of cultures,"" a young nation in pursuit of ""manifest destiny,"" and the hunter/gatherer society fighting to preserve its existence.",https://www.nps.gov/fobo/,D0A78A72-1DD8-B71B-0B90875B5BA1C6B1.jpg,https://www.nps.gov/common/uploads/banner_image/imr/D0A78A72-1DD8-B71B-0B90875B5BA1C6B1.jpg,"A rusted bell in the foreground, riders on horseback in the distance"
Fort Larned National Historic Site,FOLS,KS,MW,National Historic Site,Lands,1964-08-31T00:00:00Z,-99.216975,38.184491,-99.24083027,38.11797295,-99.20510317,38.19151416,Discover a complete and authentic army post from the 1860s -1870s! This well-preserved fort on the Santa Fe Trail shares a tumultuous history of the Indian Wars era. The sandstone constructed buildings sheltered troops who were known as the Guardians of the Santa Fe Trail.,https://www.nps.gov/fols/,22B73032-1DD8-B71B-0B7521B910DC65F1.jpg,https://www.nps.gov/common/uploads/banner_image/mwr/22B73032-1DD8-B71B-0B7521B910DC65F1.jpg,Aerial view of sandstone army buildings in a square around a large grassy area.
John Muir National Historic Site,JOMU,CA,PW,National Historic Site,Lands,1964-08-31T00:00:00Z,-122.13266,37.982634,-122.1396576,37.97519546,-122.1228891,37.99244643,"John Muir played many roles in his life, all of which helped him succeed in his role as an advocate for Nature. As America’s most famous naturalist and conservationist, Muir fought to protect the wild places he loved, places we can still visit today. Muir’s writings convinced the U.S. government to protect Yosemite, Sequoia, Grand Canyon and Mt. Rainier as national parks.",https://www.nps.gov/jomu/,FF24DD3A-1DD8-B71B-0BE1E375DA368462.jpg,https://www.nps.gov/common/uploads/banner_image/pwr/FF24DD3A-1DD8-B71B-0BE1E375DA368462.jpg,Image of Mount Wanda
Saint-Gaudens National Historic Site,SAGA,NH,NE,National Historic Site,Lands,1964-08-31T00:00:00Z,-72.374032,43.500469,-72.38147392,43.4898887,-72.36425937,43.50340129,"Discover the home, studios and gardens of Augustus Saint-Gaudens, one of America’s greatest sculptors. See over 100 of his artworks in the galleries and on the grounds, from heroic public monuments to expressive portrait reliefs, and the gold coins which changed the look of American coinage. Enjoy summer concerts, explore nature trails, or indulge your hidden talents during a sculpture class.",https://www.nps.gov/saga/,60D7313E-1DD8-B71B-0B3DF010408FB155.jpg,https://www.nps.gov/common/uploads/banner_image/ner/60D7313E-1DD8-B71B-0B3DF010408FB155.jpg,View of the Little Studio and Aspet. Saint-Gaudens' home
Allegheny Portage Railroad National Historic Site,ALPO,PA,NE,National Historic Site,Lands,1964-08-31T00:00:00Z,-78.531861,40.446771,-78.86012458,40.35607402,-78.45205449,40.46555292,"The first railroad to circumvent the Allegheny Mountains, the Allegheny Portage Railroad was the finishing piece of the Pennsylvania Mainline Canal. ""The Portage,"" opened in 1834, marking the first time that there was one, direct route between Philadelphia and Pittsburgh. All things to all people, it served merchants, passengers, slaves in pursuit of freedom, and soldiers from the Mexican War.",https://www.nps.gov/alpo/,B3DDC307-1DD8-B71B-0B1223CC267AF007.JPG,https://www.nps.gov/common/uploads/banner_image/ner/B3DDC307-1DD8-B71B-0B1223CC267AF007.JPG,Level No. 6 of the Allegheny Portage Railroad in front of the Lemon House.
